# Neutral stability data
# Columns: heat release, activation energy, frequency
3.192745098039215801e+00 1.173828125000000000e+00 7.772390267466354752e-01
3.252313725490195928e+00 1.152734375000000089e+00 7.844767843564238730e-01
3.311882352941176499e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.371450980392157071e+00 1.111718750000000089e+00 7.987008356808806830e-01
3.431019607843137198e+00 1.091796875000000222e+00 8.056908431809653992e-01
3.490588235294117769e+00 1.073046874999999956e+00 8.126478610346007381e-01
3.550156862745097897e+00 1.055468750000000178e+00 8.195783605684658912e-01
3.609725490196078468e+00 1.037890625000000178e+00 8.264158442211171351e-01
3.669294117647058595e+00 1.021484375000000222e+00 8.332343444171222968e-01
3.728862745098039166e+00 1.005078125000000044e+00 8.399650935612564817e-01
3.788431372549019738e+00 9.892578125000000000e-01 8.466466616237390275e-01
3.847999999999999865e+00 9.734374999999999556e-01 8.532428265543869905e-01
3.907568627450980436e+00 9.593750000000000888e-01 8.598747966492172878e-01
3.967137254901960564e+00 9.447265624999999778e-01 8.663875256551698545e-01
4.026705882352940691e+00 9.306640625000001110e-01 8.728617649067457185e-01
4.086274509803921262e+00 9.171875000000000444e-01 8.793009066253939521e-01
4.145843137254901833e+00 9.042968750000000000e-01 8.857078144719650048e-01
4.205411764705882405e+00 8.914062500000000666e-01 8.920421487767942192e-01
4.264980392156862976e+00 8.785156249999999112e-01 8.983037407625595883e-01
4.324549019607843547e+00 8.667968749999999112e-01 9.045854362200572707e-01
4.384117647058824119e+00 8.550781249999999112e-01 9.107988918924990740e-01
4.443686274509803802e+00 8.433593750000001332e-01 9.169448417522093608e-01
4.503254901960784373e+00 8.322265624999999334e-01 9.230722436688179044e-01
4.562823529411764056e+00 8.210937500000000666e-01 9.291341732716600355e-01
4.622392156862744628e+00 8.105468750000000000e-01 9.351826045772990703e-01
4.681960784313725199e+00 8.005859375000000666e-01 9.412205327191938142e-01
4.741529411764705770e+00 7.906250000000000222e-01 9.471978242347202093e-01
4.801098039215686342e+00 7.806640624999999778e-01 9.531153742484297364e-01
4.860666666666666913e+00 7.707031250000000444e-01 9.589724809330643085e-01
4.920235294117647484e+00 7.613281250000001332e-01 9.648264342078062272e-01
4.979803921568628056e+00 7.525390625000000222e-01 9.706809764471753255e-01
5.039372549019608627e+00 7.437500000000001332e-01 9.764799308369964681e-01
5.098941176470587422e+00 7.349609375000001332e-01 9.822241839860093027e-01
5.158509803921567993e+00 7.261718750000001332e-01 9.879133448735432088e-01
5.218078431372548565e+00 7.179687500000000444e-01 9.936103427999002369e-01
5.277647058823529136e+00 7.097656249999999556e-01 9.992547897927062106e-01
5.337215686274509707e+00 7.021484375000001110e-01 1.004911822527546850e+00
5.396784313725490279e+00 6.945312500000000444e-01 1.010518745305984956e+00
5.456352941176470850e+00 6.869140624999999778e-01 1.016076536575699185e+00
5.515921568627451421e+00 6.792968749999999112e-01 1.021585187525221983e+00
5.575490196078431993e+00 6.722656249999998668e-01 1.027112832722404834e+00
5.635058823529412564e+00 6.652343750000000444e-01 1.032593814415559752e+00
5.694627450980391359e+00 6.582031250000000000e-01 1.038028751120576132e+00
5.754196078431371930e+00 6.511718749999999556e-01 1.043417396311960621e+00
5.813764705882352501e+00 6.447265624999999334e-01 1.048832242353229471e+00
5.873333333333333073e+00 6.382812500000000222e-01 1.054203284479230618e+00
5.932901960784313644e+00 6.318359375000001110e-01 1.059531215600826970e+00
5.992470588235294215e+00 6.253906250000000888e-01 1.064815989539461549e+00
6.052039215686274787e+00 6.192382812500001332e-01 1.070095765684365263e+00
6.111607843137255358e+00 6.130859375000000666e-01 1.075333608805517205e+00
6.171176470588235929e+00 6.072265625000000666e-01 1.080569398811598303e+00
6.230745098039216501e+00 6.013671875000000666e-01 1.085764637005974809e+00
6.290313725490195296e+00 5.958007812499999112e-01 1.090960378259227648e+00
6.349882352941175867e+00 5.902343750000000888e-01 1.096117044429330001e+00
6.409450980392156438e+00 5.846679687500000444e-01 1.101234895248026646e+00
6.469019607843137010e+00 5.791015624999998890e-01 1.106313612066519347e+00
6.528588235294117581e+00 5.738281249999999112e-01 1.111397141260736410e+00
6.588156862745098152e+00 5.688476562500000000e-01 1.116487262285453808e+00
6.647725490196078724e+00 5.638671874999999778e-01 1.121540866298804895e+00
6.707294117647059295e+00 5.585937499999998890e-01 1.126513980377473745e+00
6.766862745098039866e+00 5.539062499999999334e-01 1.131540978101589268e+00
6.826431372549018661e+00 5.489257812499999112e-01 1.136487541017755509e+00
6.885999999999999233e+00 5.442382812499999556e-01 1.141445101902107462e+00
6.945568627450979804e+00 5.395507812500000000e-01 1.146368416746939012e+00
7.005137254901960375e+00 5.348632812500000444e-01 1.151257487933641466e+00
7.064705882352940947e+00 5.304687499999999334e-01 1.156161211635902575e+00
7.124274509803921518e+00 5.260742187500000444e-01 1.161032093673506127e+00
7.183843137254902089e+00 5.216796875000000444e-01 1.165870444509437220e+00
7.243411764705882661e+00 5.172851562500000444e-01 1.170676195025623034e+00
7.302980392156863232e+00 5.131835937500000000e-01 1.175500603252956244e+00
7.362549019607843803e+00 5.090820312499999556e-01 1.180293806075056740e+00
7.422117647058822598e+00 5.049804687499999112e-01 1.185056150377811646e+00
7.481686274509803170e+00 5.008789062500000888e-01 1.189787647946308979e+00
7.541254901960783741e+00 4.970703125000000000e-01 1.194541476917433176e+00
7.600823529411764312e+00 4.929687499999999556e-01 1.199212233592317878e+00
7.660392156862744883e+00 4.891601562499999778e-01 1.203906926807853717e+00
7.719960784313725455e+00 4.853515625000000000e-01 1.208572254029466331e+00
7.779529411764706026e+00 4.818359374999999778e-01 1.213264310334722262e+00
7.839098039215686597e+00 4.780273437500000000e-01 1.217872258081420078e+00
7.898666666666667169e+00 4.745117187500000333e-01 1.222508192368312985e+00
7.958235294117647740e+00 4.709960937500000666e-01 1.227116431351014336e+00
8.017803921568626535e+00 4.674804687500000444e-01 1.231697227486805435e+00
8.077372549019607106e+00 4.639648437500000222e-01 1.236250576888227481e+00
8.136941176470587678e+00 4.604492187500000555e-01 1.240776214722300708e+00
8.196509803921568249e+00 4.572265625000000444e-01 1.245335381557361343e+00
8.256078431372548820e+00 4.540039062499999778e-01 1.249868255473631562e+00
8.315647058823529392e+00 4.507812500000000222e-01 1.254375262992117657e+00
8.375215686274509963e+00 4.475585937500000111e-01 1.258856614214738601e+00
8.434784313725490534e+00 4.443359375000000000e-01 1.263312298866787753e+00
8.494352941176471106e+00 4.411132812499999889e-01 1.267742082527280045e+00
8.553921568627451677e+00 4.381835937499999889e-01 1.272210763228552644e+00
8.613490196078430472e+00 4.349609374999999778e-01 1.276589921083949308e+00
8.673058823529411043e+00 4.320312499999999778e-01 1.281009762344035297e+00
8.732627450980391615e+00 4.291015624999999778e-01 1.285405350828505266e+00
8.792196078431372186e+00 4.261718749999999778e-01 1.289776826672682786e+00
8.851764705882352757e+00 4.232421874999999778e-01 1.294124142941110112e+00
8.911333333333333329e+00 4.206054687499999889e-01 1.298516568770955004e+00
8.970901960784313900e+00 4.176757812499999889e-01 1.302817025303626641e+00
9.030470588235294471e+00 4.150390625000000000e-01 1.307163681925594512e+00
9.090039215686275043e+00 4.122558593749999778e-01 1.311452649683133131e+00
9.149607843137255614e+00 4.094726562500000111e-01 1.315718291407799834e+00
9.209176470588236185e+00 4.068359375000000222e-01 1.319997327863177139e+00
9.268745098039216757e+00 4.041992187500000333e-01 1.324253995898502900e+00
9.328313725490195552e+00 4.018554687500000000e-01 1.328562089862749040e+00
9.387882352941176123e+00 3.992187499999999556e-01 1.332775608817987623e+00
9.447450980392156694e+00 3.965820312499999667e-01 1.336966613193195430e+00
9.507019607843137265e+00 3.942382812499999889e-01 1.341211485963752503e+00
9.566588235294117837e+00 3.916015625000000000e-01 1.345359058443913236e+00
9.626156862745098408e+00 3.892578124999999112e-01 1.349562420199145851e+00
9.685725490196078979e+00 3.869140624999999334e-01 1.353745054526056091e+00
9.745294117647059551e+00 3.845703124999999556e-01 1.357907224608478014e+00
9.804862745098040122e+00 3.822265624999999778e-01 1.362049069532486945e+00
9.864431372549020693e+00 3.798828124999998890e-01 1.366170602348040441e+00
9.923999999999999488e+00 3.775390624999999112e-01 1.370271708215197615e+00
9.983568627450980060e+00 3.753417968749999112e-01 1.374393614897039040e+00
1.004313725490196063e+01 3.731445312499999667e-01 1.378495933957828212e+00
1.010270588235294120e+01 3.709472656250000222e-01 1.382578831952856913e+00
1.016227450980392177e+01 3.687499999999999667e-01 1.386642363468702177e+00
1.022184313725490235e+01 3.666992187499999445e-01 1.390728554971333075e+00
1.028141176470588292e+01 3.645019531250000000e-01 1.394754051309406551e+00
1.034098039215686349e+01 3.623046875000000000e-01 1.398759887135420543e+00
1.040054901960784406e+01 3.602539062499999778e-01 1.402790128820457394e+00
1.046011764705882463e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.051968627450980343e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.057925490196078400e+01 3.542480468750000000e-01 1.414814648170339417e+00
1.063882352941176457e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.069839215686274514e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.075796078431372571e+01 3.482421875000000222e-01 1.426676173807977621e+00
1.081752941176470628e+01 3.464843749999999556e-01 1.430670933187377480e+00
1.087709803921568685e+01 3.444335937499999889e-01 1.434556011686168420e+00
1.093666666666666742e+01 3.426757812499999223e-01 1.438516793287039963e+00
1.099623529411764800e+01 3.407714843749999334e-01 1.442413638747955362e+00
1.105580392156862857e+01 3.388671875000000000e-01 1.446292895199405848e+00
1.111537254901960736e+01 3.371093749999999889e-01 1.450203240869191612e+00
1.117494117647058793e+01 3.353515624999999778e-01 1.454096888460651327e+00
1.123450980392156850e+01 3.335937500000000222e-01 1.457974027519936655e+00
1.129407843137254908e+01 3.318359374999999556e-01 1.461834772737782062e+00
1.135364705882352965e+01 3.300781250000000000e-01 1.465679162932473245e+00
1.141321568627451022e+01 3.283203124999999334e-01 1.469507160059867701e+00
1.147278431372549079e+01 3.265624999999999778e-01 1.473318648264146491e+00
1.153235294117647136e+01 3.249511718750000000e-01 1.477164834928514470e+00
1.159192156862745193e+01 3.233398437500000222e-01 1.480995187391297430e+00
1.165149019607843250e+01 3.215820312500000111e-01 1.484758915389459366e+00
1.171105882352941130e+01 3.199707031250000888e-01 1.488558206097635672e+00
1.177062745098039187e+01 3.183593750000000000e-01 1.492342051221509980e+00
1.183019607843137244e+01 3.167480468750000222e-01 1.496110510995239506e+00
1.188976470588235301e+01 3.151367187499999889e-01 1.499863579999996199e+00
1.194933333333333358e+01 3.136718749999999889e-01 1.503654688747757318e+00
1.200890196078431416e+01 3.120605468749999556e-01 1.507377792978429332e+00
1.206847058823529473e+01 3.104492187500000333e-01 1.511085301501553735e+00
1.212803921568627530e+01 3.089843749999999778e-01 1.514832506312272731e+00
1.218760784313725587e+01 3.075195312499999778e-01 1.518565057232634574e+00
1.224717647058823466e+01 3.060546874999999778e-01 1.522283152994177158e+00
1.230674509803921524e+01 3.044433593750000000e-01 1.525931357540312172e+00
1.236631372549019581e+01 3.029785156250000000e-01 1.529620546517273638e+00
1.242588235294117638e+01 3.016601562499999778e-01 1.533351885780850354e+00
1.248545098039215695e+01 3.001953124999999778e-01 1.537013062293636212e+00
1.254501960784313752e+01 2.987304687500000333e-01 1.540659956977696421e+00
1.260458823529411809e+01 2.972656250000000333e-01 1.544292435841242650e+00
1.266415686274509866e+01 2.959472656250000666e-01 1.547969020235086868e+00
1.272372549019607924e+01 2.944824218749999556e-01 1.551573602638411042e+00
1.278329411764705981e+01 2.931640625000000444e-01 1.555223156287592223e+00
1.284286274509803860e+01 2.918457031250000222e-01 1.558859188795935102e+00
1.290243137254901917e+01 2.903808593750000222e-01 1.562422160493857293e+00
1.296199999999999974e+01 2.890625000000000000e-01 1.566031471295243893e+00
1.302156862745098032e+01 2.877441406249999778e-01 1.569627473122650274e+00
1.308113725490196089e+01 2.864257812500000111e-01 1.573210202944853808e+00
1.314070588235294146e+01 2.852539062500000222e-01 1.576841135640668190e+00
1.320027450980392203e+01 2.839355468750000000e-01 1.580398164423586715e+00
1.325984313725490260e+01 2.826171875000000888e-01 1.583941950246249952e+00
1.331941176470588317e+01 2.812988281250000666e-01 1.587472345734660895e+00
1.337898039215686374e+01 2.801269531250000222e-01 1.591053107605981953e+00
1.343854901960784254e+01 2.788085937500000555e-01 1.594557792538378260e+00
1.349811764705882311e+01 2.776367187500000111e-01 1.598113684383859034e+00
1.355768627450980368e+01 2.764648437500000222e-01 1.601657057356622671e+00
1.361725490196078425e+01 2.751464843750000000e-01 1.605123573841487516e+00
1.367682352941176482e+01 2.739746093750000666e-01 1.608642488207758348e+00
1.373639215686274540e+01 2.728027343750000222e-01 1.612149175648002197e+00
1.379596078431372597e+01 2.716308593749999778e-01 1.615643714746709980e+00
1.385552941176470654e+01 2.704589843750000444e-01 1.619126146926404664e+00
1.391509803921568711e+01 2.692871093750000000e-01 1.622596476045254477e+00
1.397466666666666768e+01 2.681152343749999556e-01 1.626054668008316995e+00
1.403423529411764648e+01 2.670898437500000000e-01 1.629568644882726680e+00
1.409380392156862705e+01 2.659179687500000111e-01 1.633003550014185512e+00
1.415337254901960762e+01 2.647460937500000222e-01 1.636426181694684789e+00
1.421294117647058819e+01 2.637207031250000666e-01 1.639905876868027690e+00
1.427250980392156876e+01 2.625488281250000222e-01 1.643305181017598482e+00
1.433207843137254933e+01 2.615234375000000666e-01 1.646762250806947048e+00
1.439164705882352990e+01 2.603515625000000222e-01 1.650137971909995338e+00
1.445121568627451047e+01 2.593261718750000666e-01 1.653572740539776653e+00
1.451078431372549105e+01 2.583007812500000555e-01 1.656996227654431886e+00
1.457035294117647162e+01 2.572021484375000000e-01 1.660373100248859313e+00
1.462992156862745041e+01 2.561035156250000000e-01 1.663738231657097666e+00
1.468949019607843098e+01 2.550781250000000444e-01 1.667128514539000683e+00
1.474905882352941155e+01 2.540527343749999778e-01 1.670507781710069750e+00
1.480862745098039213e+01 2.530273437500000222e-01 1.673876066390974415e+00
1.486819607843137270e+01 2.520019531250000666e-01 1.677233372065429329e+00
1.492776470588235327e+01 2.510498046874999889e-01 1.680617190276380679e+00
